fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1053,9.40,0.290,0.55,2.20,0.050,17.0,119.0,0.996200,3.12,0.69,10.300000,4
1054,7.00,0.310,0.52,1.70,0.029,5.0,61.0,0.991800,3.07,0.43,10.400000,5
1055,8.60,0.260,0.41,2.20,0.049,29.0,111.0,0.994100,2.96,0.44,10.000000,5
1056,7.50,0.210,0.34,1.20,0.060,26.0,111.0,0.993100,3.51,0.47,10.700000,6
1057,7.20,0.510,0.24,10.00,0.093,35.0,197.0,0.998100,3.41,0.47,9.000000,5
1058,7.50,0.210,0.34,1.20,0.060,26.0,111.0,0.993100,3.51,0.47,10.700000,6
1059,5.30,0.300,0.20,1.10,0.077,48.0,166.0,0.994400,3.30,0.54,8.700000,4
1060,8.00,0.260,0.36,2.00,0.054,30.0,121.0,0.992000,3.09,0.72,11.600000,7
1061,7.00,0.210,0.28,7.50,0.070,45.0,185.0,0.996600,3.34,0.55,9.400000,5
1062,6.70,0.260,0.26,4.00,0.079,35.5,216.0,0.995600,3.31,0.68,9.500000,5
1063,6.70,0.260,0.26,4.10,0.073,36.0,202.0,0.995600,3.30,0.67,9.500000,5
1064,8.10,0.260,0.37,1.90,0.072,48.0,159.0,0.994900,3.37,0.70,10.900000,6
1065,8.30,0.220,0.38,14.80,0.054,32.0,126.0,1.000200,3.22,0.50,9.700000,5
1066,6.40,0.300,0.51,5.50,0.048,62.0,172.0,0.994200,3.08,0.45,9.100000,6
1067,7.50,0.190,0.34,2.60,0.037,33.0,125.0,0.992300,3.10,0.49,11.100000,7
1068,8.80,0.330,0.44,6.35,0.024,9.0,87.0,0.991700,2.96,0.40,12.600000,7
1069,6.90,0.200,0.36,1.50,0.031,38.0,147.0,0.993100,3.35,0.56,11.000000,6
1070,8.00,0.370,0.32,1.60,0.040,32.0,166.0,0.992000,3.00,0.55,11.300000,7
1071,8.30,0.220,0.38,14.80,0.054,32.0,126.0,1.000200,3.22,0.50,9.700000,5
1072,8.20,0.290,0.33,9.10,0.036,28.0,118.0,0.995300,2.96,0.40,10.900000,7
1073,7.70,0.340,0.30,8.00,0.048,25.0,192.0,0.995100,2.97,0.47,10.900000,5
1074,6.20,0.550,0.45,12.00,0.049,27.0,186.0,0.997400,3.17,0.50,9.300000,6
1075,6.40,0.400,0.19,3.20,0.033,28.0,124.0,0.990400,3.22,0.54,12.700000,7
1076,7.50,0.280,0.33,7.70,0.048,42.0,180.0,0.997400,3.37,0.59,10.100000,6
1077,7.80,0.260,0.44,1.30,0.037,43.0,132.0,0.994400,3.18,0.65,10.000000,5
1078,6.50,0.260,0.34,16.30,0.051,56.0,197.0,1.000400,3.49,0.42,9.800000,5
1079,6.30,0.340,0.29,6.20,0.046,29.0,227.0,0.995200,3.29,0.53,10.100000,6
1080,6.80,0.150,0.33,4.70,0.059,31.0,118.0,0.995600,3.43,0.39,9.000000,7
1081,6.30,0.270,0.25,5.80,0.038,52.0,155.0,0.995000,3.28,0.38,9.400000,6
1082,6.30,0.270,0.25,5.80,0.038,52.0,155.0,0.995000,3.28,0.38,9.400000,6
1083,7.40,0.200,0.37,16.95,0.048,43.0,190.0,0.999500,3.03,0.42,9.200000,6
1084,6.30,0.230,0.21,5.10,0.035,29.0,142.0,0.994200,3.36,0.33,10.100000,7
1085,7.30,0.310,0.69,10.20,0.041,58.0,160.0,0.997700,3.06,0.45,8.600000,5
1086,5.20,0.240,0.45,3.80,0.027,21.0,128.0,0.992000,3.55,0.49,11.200000,8
1087,7.00,0.240,0.32,1.30,0.037,39.0,123.0,0.992000,3.17,0.42,11.200000,8
1088,7.40,0.200,0.37,16.95,0.048,43.0,190.0,0.999500,3.03,0.42,9.200000,6
1089,7.00,0.170,0.33,4.00,0.034,17.0,127.0,0.993400,3.19,0.39,10.600000,7
1090,8.30,0.210,0.58,17.10,0.049,62.0,213.0,1.000600,3.01,0.51,9.300000,6
1091,7.20,0.210,0.35,14.50,0.048,35.0,178.0,0.998200,3.05,0.47,8.900000,6
1092,7.10,0.210,0.40,1.20,0.069,24.0,156.0,0.992800,3.42,0.43,10.600000,6
1093,8.40,0.170,0.31,6.70,0.038,29.0,132.0,0.994500,3.10,0.32,10.600000,7
1094,7.40,0.240,0.31,8.40,0.045,52.0,183.0,0.996300,3.09,0.32,8.800000,5
1095,5.30,0.240,0.33,1.30,0.033,25.0,97.0,0.990600,3.59,0.38,11.000000,8
1096,6.50,0.280,0.26,8.80,0.040,44.0,139.0,0.995600,3.32,0.37,10.200000,6
1097,6.30,0.230,0.21,5.10,0.035,29.0,142.0,0.994200,3.36,0.33,10.100000,7
1098,6.50,0.290,0.25,10.60,0.039,32.0,120.0,0.996200,3.31,0.34,10.100000,6
1099,5.80,0.290,0.21,2.60,0.025,12.0,120.0,0.989400,3.39,0.79,14.000000,7
1100,6.30,0.270,0.25,5.80,0.038,52.0,155.0,0.995000,3.28,0.38,9.400000,6
1101,6.30,0.170,0.42,2.80,0.028,45.0,107.0,0.990800,3.27,0.43,11.800000,6
1102,6.30,0.160,0.40,1.60,0.033,59.0,148.0,0.991400,3.44,0.53,11.400000,5
1103,7.90,0.290,0.39,6.70,0.036,6.0,117.0,0.993800,3.12,0.42,10.700000,5
1104,7.30,0.310,0.69,10.20,0.041,58.0,160.0,0.997700,3.06,0.45,8.600000,5
1105,5.50,0.320,0.45,4.90,0.028,25.0,191.0,0.992200,3.51,0.49,11.500000,7
1106,5.20,0.240,0.45,3.80,0.027,21.0,128.0,0.992000,3.55,0.49,11.200000,8
1107,7.20,0.370,0.15,2.00,0.029,27.0,87.0,0.990300,3.30,0.59,12.600000,7
1108,6.10,0.290,0.27,1.70,0.024,13.0,76.0,0.989300,3.21,0.51,12.600000,7
1109,9.20,0.220,0.40,2.40,0.054,18.0,151.0,0.995200,3.04,0.46,9.300000,4
1110,7.20,0.370,0.15,2.00,0.029,27.0,87.0,0.990300,3.30,0.59,12.600000,7
1111,8.00,0.180,0.37,1.30,0.040,15.0,96.0,0.991200,3.06,0.61,12.100000,6
1112,6.50,0.220,0.34,12.00,0.053,55.0,177.0,0.998300,3.52,0.44,9.900000,6
1113,7.40,0.180,0.40,1.60,0.047,22.0,102.0,0.993700,3.28,0.44,10.700000,5
1114,6.50,0.520,0.17,1.40,0.047,5.0,26.0,0.993200,3.26,0.32,10.000000,4
1115,7.00,0.150,0.38,2.20,0.047,33.0,96.0,0.992800,3.13,0.39,10.400000,8
1116,5.90,0.415,0.13,1.40,0.040,11.0,64.0,0.992200,3.29,0.52,10.500000,5
1117,8.10,0.450,0.34,8.30,0.037,33.0,216.0,0.997600,3.31,0.64,9.700000,5
1118,5.80,0.415,0.13,1.40,0.040,11.0,64.0,0.992200,3.29,0.52,10.500000,5
1119,6.40,0.500,0.16,12.90,0.042,26.0,138.0,0.997400,3.28,0.33,9.000000,5
1120,6.70,0.105,0.32,12.40,0.051,34.0,106.0,0.998000,3.54,0.45,9.200000,6
1121,6.00,0.400,0.30,1.60,0.047,30.0,117.0,0.993100,3.17,0.48,10.100000,6
1122,6.60,0.250,0.39,1.45,0.040,40.0,89.0,0.991100,3.35,0.40,11.400000,7
1123,9.80,0.360,0.45,1.60,0.042,11.0,124.0,0.994400,2.93,0.46,10.800000,5
1124,9.60,0.230,0.40,1.50,0.044,19.0,135.0,0.993700,2.96,0.49,10.900000,5
1125,6.30,0.550,0.45,13.00,0.047,33.0,182.0,0.997400,3.20,0.46,9.200000,6
1126,6.50,0.115,0.29,1.95,0.038,73.0,166.0,0.989000,3.12,0.25,12.900000,7
1127,6.40,0.125,0.29,5.85,0.042,24.0,99.0,0.992000,3.23,0.32,12.000000,7
1128,5.70,0.100,0.27,1.30,0.047,21.0,100.0,0.992800,3.27,0.46,9.500000,5
1129,7.90,0.250,0.29,5.30,0.031,33.0,117.0,0.991800,3.06,0.32,11.800000,7
1130,6.90,0.200,0.28,1.20,0.048,36.0,159.0,0.993600,3.19,0.43,9.100000,6
1131,6.90,0.230,0.34,4.00,0.047,24.0,128.0,0.994400,3.20,0.52,9.700000,6
1132,6.80,0.390,0.31,14.35,0.043,28.0,162.0,0.998800,3.17,0.54,9.100000,5
1133,8.70,0.220,0.42,2.30,0.053,27.0,114.0,0.994000,2.99,0.43,10.000000,5
1134,7.40,0.410,0.34,4.70,0.042,19.0,127.0,0.995300,3.25,0.42,10.400000,5
1135,6.70,0.250,0.34,12.85,0.048,30.0,161.0,0.998600,3.44,0.47,9.500000,6
1136,6.00,0.260,0.42,5.20,0.027,70.0,178.0,0.991400,3.40,0.40,12.300000,8
1137,6.10,0.310,0.37,8.40,0.031,70.0,170.0,0.993400,3.42,0.40,11.700000,8
1138,9.20,0.280,0.46,3.20,0.058,39.0,133.0,0.996000,3.14,0.58,9.500000,5
1139,9.00,0.310,0.49,6.90,0.034,26.0,91.0,0.993700,2.99,0.34,11.500000,5
1140,8.50,0.160,0.33,1.00,0.076,17.0,57.0,0.992100,3.14,0.46,10.600000,6
1141,9.30,0.340,0.49,7.30,0.052,30.0,146.0,0.998000,3.17,0.61,10.200000,5
1142,9.20,0.280,0.46,3.20,0.058,39.0,133.0,0.996000,3.14,0.58,9.500000,5
1143,7.20,0.240,0.30,1.60,0.048,27.0,131.0,0.993300,3.25,0.45,10.500000,5
1144,7.20,0.250,0.32,1.50,0.047,27.0,132.0,0.993300,3.26,0.44,10.500000,5
1145,6.80,0.320,0.18,7.50,0.041,71.0,223.0,0.995900,3.14,0.41,8.900000,5
1146,9.10,0.270,0.32,1.10,0.031,15.0,151.0,0.993600,3.03,0.41,10.600000,5
1147,8.90,0.340,0.32,1.30,0.041,12.0,188.0,0.995300,3.17,0.49,9.500000,5
1148,7.00,0.170,0.37,5.70,0.025,29.0,111.0,0.993800,3.20,0.49,10.800000,6
1149,6.70,0.250,0.23,7.20,0.038,61.0,220.0,0.995200,3.14,0.35,9.500000,5
1150,6.90,0.320,0.17,7.60,0.042,69.0,219.0,0.995900,3.13,0.40,8.900000,5
1151,6.80,0.320,0.18,7.50,0.041,71.0,223.0,0.995900,3.14,0.41,8.900000,5
1152,6.10,0.600,0.00,1.30,0.042,24.0,79.0,0.993700,3.31,0.38,9.400000,4
1153,5.30,0.395,0.07,1.30,0.035,26.0,102.0,0.992000,3.50,0.35,10.600000,6
1154,7.90,0.160,0.30,4.80,0.037,37.0,171.0,0.996700,3.47,0.44,9.000000,4
1155,7.60,0.330,0.36,2.10,0.034,26.0,172.0,0.994400,3.42,0.48,10.500000,4
1156,7.80,0.300,0.29,16.85,0.054,23.0,135.0,0.999800,3.16,0.38,9.000000,6
1157,7.80,0.300,0.29,16.85,0.054,23.0,135.0,0.999800,3.16,0.38,9.000000,6
1158,5.70,0.260,0.27,4.10,0.201,73.5,189.5,0.994200,3.27,0.38,9.400000,6
1159,7.80,0.300,0.29,16.85,0.054,23.0,135.0,0.999800,3.16,0.38,9.000000,6
1160,7.50,0.140,0.34,1.30,0.055,50.0,153.0,0.994500,3.29,0.80,9.600000,6
1161,7.80,0.300,0.29,16.85,0.054,23.0,135.0,0.999800,3.16,0.38,9.000000,6
1162,6.60,0.250,0.41,7.40,0.043,29.0,151.0,0.994600,3.15,0.60,10.200000,7
1163,5.70,0.260,0.27,4.10,0.201,73.5,189.5,0.994200,3.27,0.38,9.400000,6
1164,8.20,0.230,0.49,0.90,0.057,15.0,73.0,0.992800,3.07,0.38,10.400000,6
1165,6.00,0.240,0.32,6.30,0.030,34.0,129.0,0.994600,3.52,0.41,10.400000,5
1166,6.10,0.450,0.27,0.80,0.039,13.0,82.0,0.992700,3.23,0.32,9.500000,5
1167,7.40,0.230,0.43,1.40,0.044,22.0,113.0,0.993800,3.22,0.62,10.600000,6
1168,7.20,0.200,0.38,1.00,0.037,21.0,74.0,0.991800,3.21,0.37,11.000000,5
1169,7.50,0.140,0.34,1.30,0.055,50.0,153.0,0.994500,3.29,0.80,9.600000,6
1170,7.70,0.250,0.43,4.50,0.062,20.0,115.0,0.996600,3.38,0.50,9.900000,6
1171,8.20,0.610,0.45,5.40,0.030,15.0,118.0,0.995400,3.14,0.34,9.600000,5
1172,7.60,0.210,0.44,1.90,0.036,10.0,119.0,0.991300,3.01,0.70,12.800000,6
1173,7.40,0.220,0.33,2.00,0.045,31.0,101.0,0.993100,3.42,0.55,11.400000,5
1174,7.20,0.260,0.26,12.70,0.036,49.0,214.0,0.998600,3.41,0.50,10.000000,6
1175,6.40,0.250,0.41,8.60,0.042,57.0,173.0,0.996500,3.00,0.44,9.100000,5
1176,6.30,0.320,0.35,11.10,0.039,29.0,198.0,0.998400,3.36,0.50,9.400000,7
1177,6.80,0.250,0.29,2.00,0.042,19.0,189.0,0.995200,3.46,0.54,10.200000,6
1178,9.80,0.440,0.40,2.80,0.036,35.0,167.0,0.995600,2.97,0.39,9.200000,5
1179,7.20,0.200,0.25,4.50,0.044,31.0,109.0,0.994900,3.23,0.36,9.400000,5
1180,8.20,0.610,0.45,5.40,0.030,15.0,118.0,0.995400,3.14,0.34,9.600000,5
1181,7.50,0.420,0.45,9.10,0.029,20.0,125.0,0.996000,3.12,0.36,10.100000,6
1182,7.40,0.220,0.33,2.00,0.045,31.0,101.0,0.993100,3.42,0.55,11.400000,5
1183,6.40,0.260,0.30,2.20,0.025,33.0,134.0,0.992000,3.21,0.47,10.600000,6
1184,7.90,0.460,0.32,4.10,0.033,40.0,138.0,0.991200,3.18,0.44,12.800000,7
1185,6.50,0.410,0.64,11.80,0.065,65.0,225.0,0.997800,3.12,0.51,8.900000,5
1186,7.50,0.320,0.37,1.20,0.048,22.0,184.0,0.993800,3.09,0.43,9.300000,5
1187,6.60,0.210,0.38,2.20,0.026,40.0,104.0,0.991400,3.25,0.40,11.100000,8
1188,7.10,0.210,0.30,1.40,0.037,45.0,143.0,0.993200,3.13,0.33,9.900000,6
1189,7.60,0.260,0.47,1.60,0.068,5.0,55.0,0.994400,3.10,0.45,9.600000,5
1190,7.60,0.210,0.44,1.90,0.036,10.0,119.0,0.991300,3.01,0.70,12.800000,6
1191,6.90,0.250,0.26,5.20,0.024,36.0,135.0,0.994800,3.16,0.72,10.700000,7
1192,7.10,0.260,0.32,14.45,0.074,29.0,107.0,0.998000,2.96,0.42,9.200000,6
1193,7.30,0.220,0.40,14.75,0.042,44.5,129.5,0.999800,3.36,0.41,9.100000,7
1194,6.20,0.370,0.22,8.30,0.025,36.0,216.0,0.996400,3.33,0.60,9.600000,6
1195,7.90,0.220,0.45,14.20,0.038,53.0,141.0,0.999200,3.03,0.46,9.200000,6
1196,6.90,0.250,0.26,5.20,0.024,36.0,135.0,0.994800,3.16,0.72,10.700000,7
1197,7.30,0.220,0.40,14.75,0.042,44.5,129.5,0.999800,3.36,0.41,9.100000,7
1198,7.10,0.260,0.32,14.45,0.074,29.0,107.0,0.998000,2.96,0.42,9.200000,6
1199,7.40,0.250,0.37,6.90,0.020,14.0,93.0,0.993900,3.00,0.48,10.700000,7
1200,6.80,0.180,0.37,1.50,0.027,37.0,93.0,0.992000,3.30,0.45,10.800000,6
1201,7.00,0.170,0.37,1.50,0.028,26.0,75.0,0.992200,3.30,0.46,10.800000,7
1202,6.40,0.300,0.38,7.80,0.046,35.0,192.0,0.995500,3.10,0.37,9.000000,5
1203,5.00,0.330,0.16,1.50,0.049,10.0,97.0,0.991700,3.48,0.44,10.700000,6
1204,5.00,0.330,0.16,1.50,0.049,10.0,97.0,0.991700,3.48,0.44,10.700000,6
1205,8.90,0.330,0.32,1.50,0.047,11.0,200.0,0.995400,3.19,0.46,9.400000,5
1206,7.00,0.260,0.46,15.55,0.037,61.0,171.0,0.998600,2.94,0.35,8.800000,6
1207,6.40,0.300,0.38,7.80,0.046,35.0,192.0,0.995500,3.10,0.37,9.000000,5
1208,6.30,0.210,0.40,1.70,0.031,48.0,134.0,0.991700,3.42,0.49,11.500000,6
1209,8.00,0.230,0.46,1.50,0.030,30.0,125.0,0.990700,3.23,0.47,12.500000,6
1210,9.20,0.280,0.41,1.00,0.042,14.0,59.0,0.992200,2.96,0.25,10.500000,6
1211,7.30,0.270,0.39,6.70,0.064,28.0,188.0,0.995800,3.29,0.30,9.700000,5
1212,7.60,0.320,0.36,1.60,0.040,32.0,155.0,0.993000,3.23,0.52,11.300000,6
1213,5.00,0.330,0.16,1.50,0.049,10.0,97.0,0.991700,3.48,0.44,10.700000,6
1214,9.70,0.240,0.45,1.20,0.033,11.0,59.0,0.992600,2.74,0.47,10.800000,6
1215,8.00,0.280,0.42,7.10,0.045,41.0,169.0,0.995900,3.17,0.43,10.600000,5
1216,8.20,0.370,0.36,1.00,0.034,17.0,93.0,0.990600,3.04,0.32,11.700000,8
1217,8.00,0.610,0.38,12.10,0.301,24.0,220.0,0.999300,2.94,0.48,9.200000,5
1218,7.20,0.260,0.44,7.10,0.027,25.0,126.0,0.993000,3.02,0.34,11.100000,8
1219,8.20,0.370,0.36,1.00,0.034,17.0,93.0,0.990600,3.04,0.32,11.700000,8
1220,6.40,0.230,0.33,1.15,0.044,15.5,217.5,0.992000,3.33,0.44,11.000000,6
1221,5.90,0.400,0.32,6.00,0.034,50.0,127.0,0.992000,3.51,0.58,12.500000,7
1222,7.60,0.280,0.39,1.20,0.038,21.0,115.0,0.994000,3.16,0.67,10.000000,6
1223,8.00,0.280,0.42,7.10,0.045,41.0,169.0,0.995900,3.17,0.43,10.600000,5
1224,7.20,0.230,0.39,2.30,0.033,29.0,102.0,0.990800,3.26,0.54,12.300000,7
1225,6.80,0.320,0.37,3.40,0.023,19.0,87.0,0.990200,3.14,0.53,12.700000,6
1226,7.20,0.230,0.39,2.30,0.033,29.0,102.0,0.990800,3.26,0.54,12.300000,7
1227,6.90,0.180,0.38,6.50,0.039,20.0,110.0,0.994300,3.10,0.42,10.500000,5
1228,9.40,0.260,0.53,1.20,0.047,25.0,109.0,0.992100,3.23,0.28,12.500000,6
1229,8.30,0.330,0.42,1.15,0.033,18.0,96.0,0.991100,3.20,0.32,12.400000,3
1230,7.30,0.290,0.30,13.00,0.043,46.0,238.0,0.998600,3.06,0.41,8.700000,6
1231,7.90,0.410,0.37,4.50,0.030,40.0,114.0,0.992000,3.17,0.54,12.400000,7
1232,7.90,0.440,0.37,5.85,0.033,27.0,93.0,0.992000,3.16,0.54,12.600000,7
1233,7.70,0.390,0.30,5.20,0.037,29.0,131.0,0.994300,3.38,0.44,11.000000,6
1234,7.70,0.260,0.31,1.30,0.043,47.0,155.0,0.993700,3.42,0.50,10.100000,6
1235,7.80,0.320,0.31,1.70,0.036,46.0,195.0,0.993000,3.03,0.48,10.500000,5
1236,6.80,0.320,0.37,3.40,0.023,19.0,87.0,0.990200,3.14,0.53,12.700000,6
1237,7.30,0.240,0.39,3.60,0.024,35.0,116.0,0.992800,3.17,0.51,10.900000,5
1238,7.10,0.440,0.37,2.70,0.041,35.0,128.0,0.989600,3.07,0.43,13.500000,7
1239,10.30,0.250,0.48,2.20,0.042,28.0,164.0,0.998000,3.19,0.59,9.700000,5
1240,7.90,0.140,0.28,1.80,0.041,44.0,178.0,0.995400,3.45,0.43,9.200000,6
1241,7.40,0.180,0.42,2.10,0.036,33.0,187.0,0.993800,3.40,0.41,10.600000,7
1242,8.10,0.430,0.42,6.60,0.033,36.0,141.0,0.991800,2.98,0.39,13.300000,7
1243,7.10,0.440,0.37,2.70,0.041,35.0,128.0,0.989600,3.07,0.43,13.500000,7
1244,6.40,0.260,0.22,5.10,0.037,23.0,131.0,0.994400,3.29,0.32,10.100000,5
1245,8.00,0.660,0.72,17.55,0.042,62.0,233.0,0.999900,2.92,0.68,9.400000,4
1246,8.00,0.200,0.40,5.20,0.055,41.0,167.0,0.995300,3.18,0.40,10.600000,7
1247,7.20,0.210,0.34,1.10,0.046,25.0,80.0,0.992000,3.25,0.40,11.300000,6
1248,7.20,0.180,0.31,1.10,0.045,20.0,73.0,0.992500,3.32,0.40,10.800000,7
1249,8.40,0.570,0.44,10.70,0.051,46.0,195.0,0.998100,3.15,0.51,10.400000,5
1250,5.30,0.260,0.23,5.15,0.034,48.0,160.0,0.995200,3.82,0.51,10.500000,7
1251,5.70,0.245,0.33,1.10,0.049,28.0,150.0,0.992700,3.13,0.42,9.300000,5
1252,5.60,0.245,0.32,1.10,0.047,24.0,152.0,0.992700,3.12,0.42,9.300000,6
1253,7.30,0.250,0.41,1.80,0.037,52.0,165.0,0.991100,3.29,0.39,12.200000,7
1254,7.00,0.160,0.73,1.00,0.138,58.0,150.0,0.993600,3.08,0.30,9.200000,5
1255,6.40,0.220,0.34,1.80,0.057,29.0,104.0,0.995900,3.81,0.57,10.300000,6
1256,7.30,0.180,0.65,1.40,0.046,28.0,157.0,0.994600,3.33,0.62,9.400000,6
1257,6.40,0.170,0.27,6.70,0.036,88.0,223.0,0.994800,3.28,0.35,10.200000,6
1258,6.90,0.290,0.16,6.80,0.034,65.0,212.0,0.995500,3.08,0.39,9.000000,6
1259,6.20,0.210,0.38,6.80,0.036,64.0,245.0,0.995100,3.06,0.36,9.300000,6
1260,6.40,0.230,0.30,7.10,0.037,63.0,236.0,0.995200,3.06,0.34,9.200000,6
1261,7.30,0.190,0.68,1.50,0.050,31.0,156.0,0.994600,3.32,0.64,9.400000,6
1262,7.30,0.180,0.65,1.40,0.046,28.0,157.0,0.994600,3.33,0.62,9.400000,6
1263,9.60,0.290,0.46,1.45,0.039,77.5,223.0,0.994400,2.92,0.46,9.500000,6
1264,7.20,0.140,0.35,1.20,0.036,15.0,73.0,0.993800,3.46,0.39,9.900000,5
1265,6.90,0.310,0.34,7.40,0.059,36.0,174.0,0.996300,3.46,0.62,11.100000,7
1266,7.50,0.280,0.34,4.20,0.028,36.0,116.0,0.991000,2.99,0.41,12.300000,8
1267,8.00,0.220,0.42,14.60,0.044,45.0,163.0,1.000300,3.21,0.69,8.600000,7
1268,7.60,0.310,0.29,10.50,0.040,21.0,145.0,0.996600,3.04,0.35,9.400000,5
1269,8.40,0.350,0.56,13.80,0.048,55.0,190.0,0.999300,3.07,0.58,9.400000,6
1270,8.00,0.220,0.42,14.60,0.044,45.0,163.0,1.000300,3.21,0.69,8.600000,7
1271,8.10,0.500,0.47,1.10,0.037,23.0,126.0,0.993800,3.21,0.42,10.900000,5
1272,7.00,0.390,0.31,5.30,0.169,32.0,162.0,0.996500,3.20,0.48,9.400000,5
1273,8.10,0.500,0.47,1.10,0.037,23.0,126.0,0.993800,3.21,0.42,10.900000,5
1274,8.40,0.350,0.56,13.80,0.048,55.0,190.0,0.999300,3.07,0.58,9.400000,6
1275,6.20,0.220,0.27,1.50,0.064,20.0,132.0,0.993800,3.22,0.46,9.200000,6
1276,8.00,0.220,0.42,14.60,0.044,45.0,163.0,1.000300,3.21,0.69,8.600000,7
1277,7.60,0.310,0.29,10.50,0.040,21.0,145.0,0.996600,3.04,0.35,9.400000,5
1278,7.00,0.240,0.36,4.90,0.083,10.0,133.0,0.994200,3.33,0.37,10.800000,6
1279,6.60,0.270,0.30,1.90,0.025,14.0,153.0,0.992800,3.29,0.62,10.500000,6
1280,7.80,0.160,0.41,1.70,0.026,29.0,140.0,0.991000,3.02,0.78,12.500000,6
1281,7.70,0.270,0.34,1.80,0.028,26.0,168.0,0.991100,2.99,0.48,12.100000,7
1282,7.40,0.310,0.74,10.70,0.039,51.0,147.0,0.997700,3.02,0.43,8.700000,5
1283,8.00,0.450,0.36,8.80,0.026,50.0,151.0,0.992700,3.07,0.25,12.700000,8
1284,7.70,0.270,0.34,1.80,0.028,26.0,168.0,0.991100,2.99,0.48,12.100000,7
1285,7.80,0.160,0.41,1.70,0.026,29.0,140.0,0.991000,3.02,0.78,12.500000,6
1286,6.60,0.160,0.29,1.80,0.050,40.0,147.0,0.991200,3.06,0.44,11.400000,7
1287,8.30,0.210,0.40,1.60,0.032,35.0,110.0,0.990700,3.02,0.60,12.900000,7
1288,7.20,0.320,0.33,1.40,0.029,29.0,109.0,0.990200,3.15,0.51,12.800000,7
1289,6.60,0.160,0.30,1.60,0.034,15.0,78.0,0.992000,3.38,0.44,11.200000,6
1290,8.40,0.160,0.33,1.50,0.033,16.0,98.0,0.994000,3.14,0.42,9.700000,6
1291,7.50,0.230,0.32,9.20,0.038,54.0,191.0,0.996600,3.04,0.56,9.700000,6
1292,6.20,0.170,0.30,1.10,0.037,14.0,79.0,0.993000,3.50,0.54,10.300000,6
1293,6.90,0.390,0.22,4.30,0.030,10.0,102.0,0.993000,3.00,0.87,11.600000,4
1294,6.90,0.410,0.22,4.20,0.031,10.0,102.0,0.993000,3.00,0.86,11.600000,4
1295,7.50,0.230,0.32,9.20,0.038,54.0,191.0,0.996600,3.04,0.56,9.700000,6
1296,7.50,0.380,0.33,5.00,0.045,30.0,131.0,0.994200,3.32,0.44,10.900000,6
1297,7.30,0.420,0.38,6.80,0.045,29.0,122.0,0.992500,3.19,0.37,12.600000,7
1298,7.30,0.340,0.39,5.20,0.040,45.0,163.0,0.992500,3.30,0.47,12.400000,6
1299,7.80,0.230,0.28,4.75,0.042,45.0,166.0,0.992800,2.96,0.40,11.500000,5
1300,9.00,0.245,0.38,5.90,0.045,52.0,159.0,0.995000,2.93,0.35,10.200000,6
1301,6.90,0.200,0.40,7.70,0.032,51.0,176.0,0.993900,3.22,0.27,11.400000,5
1302,7.40,0.190,0.42,6.40,0.067,39.0,212.0,0.995800,3.30,0.33,9.600000,6
1303,8.20,0.200,0.36,8.10,0.035,60.0,163.0,0.995200,3.05,0.30,10.300000,6
1304,8.00,0.590,0.71,17.35,0.038,61.0,228.0,1.000000,2.95,0.75,9.300000,5
1305,7.90,0.140,0.45,1.80,0.050,17.0,114.0,0.994800,3.33,0.49,10.700000,7
1306,6.80,0.240,0.40,1.80,0.047,34.0,105.0,0.990000,3.13,0.49,12.800000,8
1307,9.70,0.140,0.59,1.50,0.049,23.0,142.0,0.995800,2.98,0.62,9.500000,5
1308,9.20,0.150,0.68,1.60,0.046,22.0,130.0,0.994800,3.02,0.45,10.400000,6
1309,9.40,0.170,0.55,1.60,0.049,14.0,94.0,0.994900,3.02,0.61,10.300000,6
1310,5.20,0.365,0.08,13.50,0.041,37.0,142.0,0.997000,3.46,0.39,9.900000,6
1311,6.30,0.230,0.22,3.75,0.039,37.0,116.0,0.992700,3.23,0.50,10.700000,6
1312,9.60,0.250,0.54,1.30,0.040,16.0,160.0,0.993800,2.94,0.43,10.500000,5
1313,9.20,0.320,0.42,1.30,0.046,14.0,186.0,0.994900,3.08,0.48,9.600000,5
1314,6.40,0.310,0.40,6.20,0.040,46.0,169.0,0.995300,3.15,0.46,9.300000,6
1315,8.10,0.200,0.36,9.70,0.044,63.0,162.0,0.997000,3.10,0.46,10.000000,6
1316,7.90,0.255,0.26,2.00,0.026,40.0,190.0,0.993200,3.04,0.39,11.200000,6
1317,7.00,0.150,0.34,1.40,0.039,21.0,177.0,0.992700,3.32,0.62,10.800000,5
1318,6.40,0.150,0.31,1.10,0.044,25.0,96.0,0.993200,3.54,0.51,10.300000,6
1319,6.40,0.250,0.53,6.60,0.038,59.0,234.0,0.995500,3.03,0.42,8.800000,5
1320,7.60,0.190,0.42,1.50,0.044,6.0,114.0,0.991400,3.04,0.74,12.800000,6
1321,7.30,0.430,0.37,4.60,0.028,17.0,114.0,0.991000,3.23,0.43,13.200000,6
1322,5.10,0.310,0.30,0.90,0.037,28.0,152.0,0.992000,3.54,0.56,10.100000,6
1323,6.20,0.200,0.26,1.70,0.093,40.0,161.0,0.992400,3.44,0.66,11.000000,5
1324,6.90,0.160,0.35,1.30,0.043,21.0,182.0,0.992700,3.25,0.62,10.800000,6
1325,7.70,0.320,0.48,2.30,0.040,28.0,114.0,0.991100,3.20,0.52,12.800000,7
